Speaker,Rep,Syll,Phon,Filename,Filepath
F1,1,bood,bud,bood1F1.wav,1F/bood1F1.wav
F1,2,bood,bud,bood1F2.wav,1F/bood1F2.wav
F1,1,booDH,buD,booDH1F1.wav,1F/booDH1F1.wav
F1,2,booDH,buD,booDH1F2.wav,1F/booDH1F2.wav
F1,1,boof,buf,boof1F1.wav,1F/boof1F1.wav
F1,2,boof,buf,boof1F2.wav,1F/boof1F2.wav
F1,1,boog,bug,boog1F1.wav,1F/boog1F1.wav
F1,2,boog,bug,boog1F2.wav,1F/boog1F2.wav
F1,1,booj,buj,booj1F1.wav,1F/booj1F1.wav
F1,2,booj,buj,booj1F2.wav,1F/booj1F2.wav
F1,1,book,buk,book1F1.wav,1F/book1F1.wav
F1,2,book,buk,book1F2.wav,1F/book1F2.wav
F1,1,bool,bul,bool1F1.wav,1F/bool1F1.wav
F1,2,bool,bul,bool1F2.wav,1F/bool1F2.wav
F1,1,boom,bum,boom1F1.wav,1F/boom1F1.wav
F1,2,boom,bum,boom1F2.wav,1F/boom1F2.wav
F1,1,boon,bun,boon1F1.wav,1F/boon1F1.wav
F1,2,boon,bun,boon1F2.wav,1F/boon1F2.wav
F1,1,boong,buN,boong1F1.wav,1F/boong1F1.wav
F1,2,boong,buN,boong1F2.wav,1F/boong1F2.wav
F1,1,boop,bup,boop1F1.wav,1F/boop1F1.wav
F1,2,boop,bup,boop1F2.wav,1F/boop1F2.wav
F1,1,boor,bur,boor1F1.wav,1F/boor1F1.wav
F1,2,boor,bur,boor1F2.wav,1F/boor1F2.wav
F1,1,boos,bus,boos1F1.wav,1F/boos1F1.wav
F1,2,boos,bus,boos1F2.wav,1F/boos1F2.wav
F1,1,boosh,buS,boosh1F1.wav,1F/boosh1F1.wav
F1,2,boosh,buS,boosh1F2.wav,1F/boosh1F2.wav
F1,1,boot,but,boot1F1.wav,1F/boot1F1.wav
F1,2,boot,but,boot1F2.wav,1F/boot1F2.wav
F1,1,booth,buT,booth1F1.wav,1F/booth1F1.wav
F1,2,booth,buT,booth1F2.wav,1F/booth1F2.wav
F1,1,boov,buv,boov1F1.wav,1F/boov1F1.wav
F1,2,boov,buv,boov1F2.wav,1F/boov1F2.wav
F1,1,booz,buz,booz1F1.wav,1F/booz1F1.wav
F1,2,booz,buz,booz1F2.wav,1F/booz1F2.wav
F1,1,chaab,cab,chaab1F1.wav,1F/chaab1F1.wav
F1,2,chaab,cab,chaab1F2.wav,1F/chaab1F2.wav
F1,1,chaach,cac,chaach1F1.wav,1F/chaach1F1.wav
F1,2,chaach,cac,chaach1F2.wav,1F/chaach1F2.wav
F1,1,chaad,cad,chaad1F1.wav,1F/chaad1F1.wav
F1,2,chaad,cad,chaad1F2.wav,1F/chaad1F2.wav
F1,1,chaaDH,caD,chaaDH1F1.wav,1F/chaaDH1F1.wav
F1,2,chaaDH,caD,chaaDH1F2.wav,1F/chaaDH1F2.wav
F1,1,chaaf,caf,chaaf1F1.wav,1F/chaaf1F1.wav
F1,2,chaaf,caf,chaaf1F2.wav,1F/chaaf1F2.wav
F1,1,chaag,cag,chaag1F1.wav,1F/chaag1F1.wav
F1,2,chaag,cag,chaag1F2.wav,1F/chaag1F2.wav
F1,1,chaaj,caj,chaaj1F1.wav,1F/chaaj1F1.wav
F1,2,chaaj,caj,chaaj1F2.wav,1F/chaaj1F2.wav
F1,1,chaak,cak,chaak1F1.wav,1F/chaak1F1.wav
F1,2,chaak,cak,chaak1F2.wav,1F/chaak1F2.wav
F1,1,chaal,cal,chaal1F1.wav,1F/chaal1F1.wav
F1,2,chaal,cal,chaal1F2.wav,1F/chaal1F2.wav
F1,1,chaam,cam,chaam1F1.wav,1F/chaam1F1.wav
F1,2,chaam,cam,chaam1F2.wav,1F/chaam1F2.wav
F1,1,chaan,can,chaan1F1.wav,1F/chaan1F1.wav
F1,2,chaan,can,chaan1F2.wav,1F/chaan1F2.wav
F1,1,chaang,caN,chaang1F1.wav,1F/chaang1F1.wav
F1,2,chaang,caN,chaang1F2.wav,1F/chaang1F2.wav
F1,1,chaap,cap,chaap1F1.wav,1F/chaap1F1.wav
F1,2,chaap,cap,chaap1F2.wav,1F/chaap1F2.wav
F1,1,chaar,car,chaar1F1.wav,1F/chaar1F1.wav
F1,2,chaar,car,chaar1F2.wav,1F/chaar1F2.wav
F1,1,chaas,cas,chaas1F1.wav,1F/chaas1F1.wav
F1,2,chaas,cas,chaas1F2.wav,1F/chaas1F2.wav
F1,1,chaash,caS,chaash1F1.wav,1F/chaash1F1.wav
F1,2,chaash,caS,chaash1F2.wav,1F/chaash1F2.wav
F1,1,chaat,cat,chaat1F1.wav,1F/chaat1F1.wav
F1,2,chaat,cat,chaat1F2.wav,1F/chaat1F2.wav
F1,1,chaath,caT,chaath1F1.wav,1F/chaath1F1.wav
F1,2,chaath,caT,chaath1F2.wav,1F/chaath1F2.wav
F1,1,chaav,cav,chaav1F1.wav,1F/chaav1F1.wav
F1,2,chaav,cav,chaav1F2.wav,1F/chaav1F2.wav
F1,1,chaaz,caz,chaaz1F1.wav,1F/chaaz1F1.wav
F1,2,chaaz,caz,chaaz1F2.wav,1F/chaaz1F2.wav
F1,1,cheeb,cib,cheeb1F1.wav,1F/cheeb1F1.wav
F1,2,cheeb,cib,cheeb1F2.wav,1F/cheeb1F2.wav
F1,1,cheech,cic,cheech1F1.wav,1F/cheech1F1.wav
F1,2,cheech,cic,cheech1F2.wav,1F/cheech1F2.wav
F1,1,cheed,cid,cheed1F1.wav,1F/cheed1F1.wav
F1,2,cheed,cid,cheed1F2.wav,1F/cheed1F2.wav
F1,1,cheeDH,ciD,cheeDH1F1.wav,1F/cheeDH1F1.wav
F1,2,cheeDH,ciD,cheeDH1F2.wav,1F/cheeDH1F2.wav
F1,1,cheef,cif,cheef1F1.wav,1F/cheef1F1.wav
F1,2,cheef,cif,cheef1F2.wav,1F/cheef1F2.wav
F1,1,cheeg,cig,cheeg1F1.wav,1F/cheeg1F1.wav
F1,2,cheeg,cig,cheeg1F2.wav,1F/cheeg1F2.wav
F1,1,cheej,cij,cheej1F1.wav,1F/cheej1F1.wav
F1,2,cheej,cij,cheej1F2.wav,1F/cheej1F2.wav
F1,1,cheek,cik,cheek1F1.wav,1F/cheek1F1.wav
F1,2,cheek,cik,cheek1F2.wav,1F/cheek1F2.wav
F1,1,cheel,cil,cheel1F1.wav,1F/cheel1F1.wav
F1,2,cheel,cil,cheel1F2.wav,1F/cheel1F2.wav
F1,1,cheem,cim,cheem1F1.wav,1F/cheem1F1.wav
F1,2,cheem,cim,cheem1F2.wav,1F/cheem1F2.wav
F1,1,cheen,cin,cheen1F1.wav,1F/cheen1F1.wav
F1,2,cheen,cin,cheen1F2.wav,1F/cheen1F2.wav
F1,1,cheeng,ciN,cheeng1F1.wav,1F/cheeng1F1.wav
F1,2,cheeng,ciN,cheeng1F2.wav,1F/cheeng1F2.wav
F1,1,cheep,cip,cheep1F1.wav,1F/cheep1F1.wav
F1,2,cheep,cip,cheep1F2.wav,1F/cheep1F2.wav
F1,1,cheer,cir,cheer1F1.wav,1F/cheer1F1.wav
F1,2,cheer,cir,cheer1F2.wav,1F/cheer1F2.wav
F1,1,chees,cis,chees1F1.wav,1F/chees1F1.wav
F1,2,chees,cis,chees1F2.wav,1F/chees1F2.wav
F1,1,cheesh,ciS,cheesh1F1.wav,1F/cheesh1F1.wav
F1,2,cheesh,ciS,cheesh1F2.wav,1F/cheesh1F2.wav
F1,1,cheet,cit,cheet1F1.wav,1F/cheet1F1.wav
F1,2,cheet,cit,cheet1F2.wav,1F/cheet1F2.wav
F1,1,cheeth,ciT,cheeth1F1.wav,1F/cheeth1F1.wav
F1,2,cheeth,ciT,cheeth1F2.wav,1F/cheeth1F2.wav
F1,1,cheev,civ,cheev1F1.wav,1F/cheev1F1.wav
F1,2,cheev,civ,cheev1F2.wav,1F/cheev1F2.wav
F1,1,cheez,ciz,cheez1F1.wav,1F/cheez1F1.wav
F1,2,cheez,ciz,cheez1F2.wav,1F/cheez1F2.wav
F1,1,choob,cub,choob1F1.wav,1F/choob1F1.wav
F1,2,choob,cub,choob1F2.wav,1F/choob1F2.wav
F1,1,chooch,cuc,chooch1F1.wav,1F/chooch1F1.wav
F1,2,chooch,cuc,chooch1F2.wav,1F/chooch1F2.wav
F1,1,chood,cud,chood1F1.wav,1F/chood1F1.wav
F1,2,chood,cud,chood1F2.wav,1F/chood1F2.wav
F1,1,chooDH,cuD,chooDH1F1.wav,1F/chooDH1F1.wav
F1,2,chooDH,cuD,chooDH1F2.wav,1F/chooDH1F2.wav
F1,1,choof,cuf,choof1F1.wav,1F/choof1F1.wav
F1,2,choof,cuf,choof1F2.wav,1F/choof1F2.wav
F1,1,choog,cug,choog1F1.wav,1F/choog1F1.wav
F1,2,choog,cug,choog1F2.wav,1F/choog1F2.wav
F1,1,chooj,cuj,chooj1F1.wav,1F/chooj1F1.wav
F1,2,chooj,cuj,chooj1F2.wav,1F/chooj1F2.wav
F1,1,chook,cuk,chook1F1.wav,1F/chook1F1.wav
F1,2,chook,cuk,chook1F2.wav,1F/chook1F2.wav
F1,1,chool,cul,chool1F1.wav,1F/chool1F1.wav
F1,2,chool,cul,chool1F2.wav,1F/chool1F2.wav
F1,1,choom,cum,choom1F1.wav,1F/choom1F1.wav
F1,2,choom,cum,choom1F2.wav,1F/choom1F2.wav
F1,1,choon,cun,choon1F1.wav,1F/choon1F1.wav
F1,2,choon,cun,choon1F2.wav,1F/choon1F2.wav
F1,1,choong,cuN,choong1F1.wav,1F/choong1F1.wav
F1,2,choong,cuN,choong1F2.wav,1F/choong1F2.wav
F1,1,choop,cup,choop1F1.wav,1F/choop1F1.wav
F1,2,choop,cup,choop1F2.wav,1F/choop1F2.wav
F1,1,choor,cur,choor1F1.wav,1F/choor1F1.wav
F1,2,choor,cur,choor1F2.wav,1F/choor1F2.wav
F1,1,choos,cus,choos1F1.wav,1F/choos1F1.wav
F1,2,choos,cus,choos1F2.wav,1F/choos1F2.wav
F1,1,choosh,cuS,choosh1F1.wav,1F/choosh1F1.wav
F1,2,choosh,cuS,choosh1F2.wav,1F/choosh1F2.wav
F1,1,choot,cut,choot1F1.wav,1F/choot1F1.wav
F1,2,choot,cut,choot1F2.wav,1F/choot1F2.wav
F1,1,chooth,cuT,chooth1F1.wav,1F/chooth1F1.wav
F1,2,chooth,cuT,chooth1F2.wav,1F/chooth1F2.wav
F1,1,choov,cuv,choov1F1.wav,1F/choov1F1.wav
F1,2,choov,cuv,choov1F2.wav,1F/choov1F2.wav
F1,1,chooz,cuz,chooz1F1.wav,1F/chooz1F1.wav
F1,2,chooz,cuz,chooz1F2.wav,1F/chooz1F2.wav
F1,1,daab,dab,daab1F1.wav,1F/daab1F1.wav
F1,2,daab,dab,daab1F2.wav,1F/daab1F2.wav
F1,1,daach,dac,daach1F1.wav,1F/daach1F1.wav
F1,2,daach,dac,daach1F2.wav,1F/daach1F2.wav
F1,1,daad,dad,daad1F1.wav,1F/daad1F1.wav
F1,2,daad,dad,daad1F2.wav,1F/daad1F2.wav
F1,1,daaDH,daD,daaDH1F1.wav,1F/daaDH1F1.wav
F1,2,daaDH,daD,daaDH1F2.wav,1F/daaDH1F2.wav
F1,1,daaf,daf,daaf1F1.wav,1F/daaf1F1.wav
F1,2,daaf,daf,daaf1F2.wav,1F/daaf1F2.wav
F1,1,daag,dag,daag1F1.wav,1F/daag1F1.wav
F1,2,daag,dag,daag1F2.wav,1F/daag1F2.wav
F1,1,daaj,daj,daaj1F1.wav,1F/daaj1F1.wav
F1,2,daaj,daj,daaj1F2.wav,1F/daaj1F2.wav
F1,1,daak,dak,daak1F1.wav,1F/daak1F1.wav
F1,2,daak,dak,daak1F2.wav,1F/daak1F2.wav
F1,1,daal,dal,daal1F1.wav,1F/daal1F1.wav
F1,2,daal,dal,daal1F2.wav,1F/daal1F2.wav
F1,1,daam,dam,daam1F1.wav,1F/daam1F1.wav
F1,2,daam,dam,daam1F2.wav,1F/daam1F2.wav
F1,1,daan,dan,daan1F1.wav,1F/daan1F1.wav
F1,2,daan,dan,daan1F2.wav,1F/daan1F2.wav
F1,1,daang,daN,daang1F1.wav,1F/daang1F1.wav
F1,2,daang,daN,daang1F2.wav,1F/daang1F2.wav
F1,1,daap,dap,daap1F1.wav,1F/daap1F1.wav
F1,2,daap,dap,daap1F2.wav,1F/daap1F2.wav
F1,1,daar,dar,daar1F1.wav,1F/daar1F1.wav
F1,2,daar,dar,daar1F2.wav,1F/daar1F2.wav
F1,1,daas,das,daas1F1.wav,1F/daas1F1.wav
F1,2,daas,das,daas1F2.wav,1F/daas1F2.wav
F1,1,daash,daS,daash1F1.wav,1F/daash1F1.wav
F1,2,daash,daS,daash1F2.wav,1F/daash1F2.wav
F1,1,daat,dat,daat1F1.wav,1F/daat1F1.wav
F1,2,daat,dat,daat1F2.wav,1F/daat1F2.wav
F1,1,daath,daT,daath1F1.wav,1F/daath1F1.wav
F1,2,daath,daT,daath1F2.wav,1F/daath1F2.wav
F1,1,daav,dav,daav1F1.wav,1F/daav1F1.wav
F1,2,daav,dav,daav1F2.wav,1F/daav1F2.wav
F1,1,daaz,daz,daaz1F1.wav,1F/daaz1F1.wav
F1,2,daaz,daz,daaz1F2.wav,1F/daaz1F2.wav
F1,1,deeb,dib,deeb1F1.wav,1F/deeb1F1.wav
F1,2,deeb,dib,deeb1F2.wav,1F/deeb1F2.wav
F1,1,deech,dic,deech1F1.wav,1F/deech1F1.wav
F1,2,deech,dic,deech1F2.wav,1F/deech1F2.wav
F1,1,deed,did,deed1F1.wav,1F/deed1F1.wav
F1,2,deed,did,deed1F2.wav,1F/deed1F2.wav
F1,1,deeDH,diD,deeDH1F1.wav,1F/deeDH1F1.wav
F1,2,deeDH,diD,deeDH1F2.wav,1F/deeDH1F2.wav
F1,1,deef,dif,deef1F1.wav,1F/deef1F1.wav
F1,2,deef,dif,deef1F2.wav,1F/deef1F2.wav
F1,1,deeg,dig,deeg1F1.wav,1F/deeg1F1.wav
F1,2,deeg,dig,deeg1F2.wav,1F/deeg1F2.wav
F1,1,deej,dij,deej1F1.wav,1F/deej1F1.wav
F1,2,deej,dij,deej1F2.wav,1F/deej1F2.wav
F1,1,deek,dik,deek1F1.wav,1F/deek1F1.wav
F1,2,deek,dik,deek1F2.wav,1F/deek1F2.wav
F1,1,deel,dil,deel1F1.wav,1F/deel1F1.wav
F1,2,deel,dil,deel1F2.wav,1F/deel1F2.wav
F1,1,deem,dim,deem1F1.wav,1F/deem1F1.wav
F1,2,deem,dim,deem1F2.wav,1F/deem1F2.wav
F1,1,deen,din,deen1F1.wav,1F/deen1F1.wav
F1,2,deen,din,deen1F2.wav,1F/deen1F2.wav
F1,1,deeng,diN,deeng1F1.wav,1F/deeng1F1.wav
F1,2,deeng,diN,deeng1F2.wav,1F/deeng1F2.wav
F1,1,deep,dip,deep1F1.wav,1F/deep1F1.wav
F1,2,deep,dip,deep1F2.wav,1F/deep1F2.wav
F1,1,deer,dir,deer1F1.wav,1F/deer1F1.wav
F1,2,deer,dir,deer1F2.wav,1F/deer1F2.wav
F1,1,dees,dis,dees1F1.wav,1F/dees1F1.wav
F1,2,dees,dis,dees1F2.wav,1F/dees1F2.wav
F1,1,deesh,diS,deesh1F1.wav,1F/deesh1F1.wav
F1,2,deesh,diS,deesh1F2.wav,1F/deesh1F2.wav
F1,1,deet,dit,deet1F1.wav,1F/deet1F1.wav
F1,2,deet,dit,deet1F2.wav,1F/deet1F2.wav
F1,1,deeth,diT,deeth1F1.wav,1F/deeth1F1.wav
F1,2,deeth,diT,deeth1F2.wav,1F/deeth1F2.wav
F1,1,deev,div,deev1F1.wav,1F/deev1F1.wav
F1,2,deev,div,deev1F2.wav,1F/deev1F2.wav
F1,1,deez,diz,deez1F1.wav,1F/deez1F1.wav
F1,2,deez,diz,deez1F2.wav,1F/deez1F2.wav
F1,1,DHaab,Dab,DHaab1F1.wav,1F/DHaab1F1.wav
F1,2,DHaab,Dab,DHaab1F2.wav,1F/DHaab1F2.wav
F1,1,DHaach,Dac,DHaach1F1.wav,1F/DHaach1F1.wav
F1,2,DHaach,Dac,DHaach1F2.wav,1F/DHaach1F2.wav
F1,1,DHaad,Dad,DHaad1F1.wav,1F/DHaad1F1.wav
F1,2,DHaad,Dad,DHaad1F2.wav,1F/DHaad1F2.wav
F1,1,DHaaDH,DaD,DHaaDH1F1.wav,1F/DHaaDH1F1.wav
F1,2,DHaaDH,DaD,DHaaDH1F2.wav,1F/DHaaDH1F2.wav
F1,1,DHaaf,Daf,DHaaf1F1.wav,1F/DHaaf1F1.wav
