"","DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"1","CV","bab","cab","bab-cab","b-c","multi",11.2948676043613,11.2761575561941,12.0118211769441,12.5956531008745,10.2484888750622,11.6529474588036,10.492994442497,11.0342193585884
"2","CV","bab","dab","bab-dab","b-d","plc_plos",8.84526994337876,9.01140830758299,8.70960497318124,10.1621662653521,10.9055104415632,10.5603256242979,10.2008642376748,11.0741849566652
"3","CV","bab","Dab","bab-Dab","b-D","manXplc_obs",10.11940874253,9.35963229479036,8.97913677529918,9.83750836921129,11.24547313261,10.8880831543406,10.7876823862534,11.6879375829148
"4","CV","bab","fab","bab-fab","b-f","voiXman",13.9469904203663,11.9277606211268,10.1842647662252,9.75855634501705,9.42779533870487,10.3446063396087,9.74836284740372,13.471386922442
"5","CV","bab","gab","bab-gab","b-g","plc_plos",12.2482323199336,8.86511118973448,10.2107437631472,8.46395062642611,11.1676245906782,10.2433586334061,12.9622664983925,NA
"6","CV","bab","hab","bab-hab","b-h","multi",13.0285214559093,10.3669732938028,9.54349187485433,10.1763183335056,8.79868117697604,10.4193879969736,10.6196002794592,13.7006987674485
"7","CV","bab","jab","bab-jab","b-j","manXplc_obs",11.6212090846322,10.2054458780016,10.5281072311992,10.4319627744061,12.7060169282619,10.3937194317783,NA,NA
"8","CV","bab","kab","bab-kab","b-k","voiXplc",11.5074513413576,9.70044211601237,10.744651295966,10.2718221782841,9.43687608157012,11.2200297195962,11.9092172267761,13.0636318784267
"9","CV","bab","lab","bab-lab","b-l","multi",11.9459181687322,9.56505909968257,9.29901308834242,10.069125098805,11.7432819826763,11.1587520150262,11.9873923360592,11.0359735463045
"10","CV","bab","mab","bab-mab","b-m","nasXson",12.4937265461879,11.6289182047444,11.2940721692892,11.1004304418569,11.4093147548578,13.1012066067645,11.1038577436946,11.8895046782984
"11","CV","bab","nab","bab-nab","b-n","multi",12.368965880373,11.1522543333579,10.3039125103207,12.4930934392384,12.2692180907309,11.5753896705063,13.5139645348521,11.3047995133796
"12","CV","bab","pab","bab-pab","b-p","voi_plos",14.5892379987681,11.1004567386128,9.96503826876633,9.11917765634439,8.80673308121194,10.0780554702465,13.0350001295801,10.1949940240395
"13","CV","bab","rab","bab-rab","b-r","multi",10.8290047796591,9.70875961983537,10.0562233898811,11.4722687142976,11.2607139768829,11.2819998229552,11.1112106204653,11.522623489539
"14","CV","bab","sab","bab-sab","b-s","multi",12.8679936551618,11.8322100535849,9.99386910473649,9.520693963549,13.1202294860353,10.5217991278726,12.9181071980776,13.142013453519
"15","CV","bab","Sab","bab-Sab","b-S","multi",15.4946204574223,12.0537055857618,11.8993920701041,11.5631035096311,10.8483841367001,12.9342248004638,11.6703748881315,12.240303419175
"16","CV","bab","tab","bab-tab","b-t","voiXplc",11.309922420921,11.3722784902611,9.60787985391354,9.71487594468322,9.04598889109809,9.05696895121741,11.3342918929146,11.0615487254979
"17","CV","bab","Tab","bab-Tab","b-T","multi",14.0346418265706,13.854935960638,10.2285196403624,10.977518535031,11.1241536235217,11.3635014779187,11.5097891391684,14.0140325542127
"18","CV","bab","vab","bab-vab","b-v","man_obs",11.7158823681217,10.2565371565678,8.36204274880692,10.4318094908057,9.21263383576212,12.4362044728056,9.69259742306983,10.7231689278782
