"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",10.2541602634181,10.329638314636,10.69851635432,11.5038389940231,9.1721095203101,10.9953545354939,9.92684942985744,10.3389179388403
"CV","bab","dab","bab-dab","b-d","plc_plos",8.24574216596648,8.36434114894674,8.22795261741631,8.80366797086277,9.97295093742722,9.34951660509517,9.30803553975487,10.4121006667139
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",9.51680214122501,8.56205336840458,8.47728101029232,8.85080475051464,10.0234985563885,10.2830154244519,10.0499631801964,11.1921245017807
"CV","bab","fab","bab-fab","b-f","voiXman",12.5478232121464,10.5039270200124,8.94396395593833,8.43511388144627,7.92309397019683,9.32401640776772,8.99347143140499,12.0884835480852
"CV","bab","gab","bab-gab","b-g","plc_plos",10.9462864819738,7.51145390580591,8.78118552225135,7.77102738254734,10.323941704752,9.41822879072479,11.6317640934278,NA
"CV","bab","hab","bab-hab","b-h","multi",11.8640211212825,8.95459180960459,8.47007181056739,8.78332032228428,7.63105924281247,9.2713149129651,9.99603840494566,NA
"CV","bab","jab","bab-jab","b-j","manXplc_obs",10.9511895414208,9.18747566312835,9.73676694456502,9.32944876046376,10.9360798726613,9.42884476520431,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",10.3408910454192,8.83834927589519,9.96231756658471,9.20286142092631,8.5292061396854,10.54454098731,11.4569347408005,11.8719986452189
"CV","bab","lab","bab-lab","b-l","multi",11.4236893427591,9.0823101495244,8.36603489640817,9.31124542329088,NA,10.8061970388825,11.0439705026423,10.31097565252
"CV","bab","mab","bab-mab","b-m","nasXson",11.9749889623033,10.680713437916,9.91083275991212,10.1020510479667,9.90022180884375,12.2677143758069,NA,11.1254128046062
"CV","bab","nab","bab-nab","b-n","multi",11.2008149052299,9.57574042823301,9.55844686675976,11.5726939576149,11.4906893759567,10.8140934784611,12.8690635336482,10.4957127782197
"CV","bab","pab","bab-pab","b-p","voi_plos",13.2357351547013,9.79744428296403,8.30174850424097,8.01643004238718,8.03761782556309,9.36030957526193,12.3486871997835,10.0445606601425
"CV","bab","rab","bab-rab","b-r","multi",9.66071825462549,8.87843095108542,9.0396569289932,9.88168926836699,10.228615366184,10.3638087099705,10.6114643928706,10.7828638077419
"CV","bab","sab","bab-sab","b-s","multi",11.4873553866465,10.5486258264379,9.38052576490701,8.55149548394556,12.1233269225181,9.68641097129171,12.4549769651087,12.5559868604143
"CV","bab","Sab","bab-Sab","b-S","multi",14.0825087817105,10.7249031146867,10.5282046193321,10.4796773418635,9.88931177298755,12.1684290821673,10.9992016481729,11.784360640274
"CV","bab","tab","bab-tab","b-t","voiXplc",10.1629998018325,9.79621583349807,8.70705178210227,8.50146711848829,8.17647893551732,8.4541555034217,10.7730021794692,10.698999267047
"CV","bab","Tab","bab-Tab","b-T","multi",12.9918525530019,12.5556348416765,9.2842705614204,9.11719338762334,9.13148793077304,10.1958924663265,10.3971644843995,13.0341178912605
"CV","bab","vab","bab-vab","b-v","man_obs",10.8765018784604,9.18191484767244,7.77605867262673,9.06765791962754,8.51511469555477,10.9065659442598,9.06360929442448,10.4891313605058
"CV","bab","zab","bab-zab","b-z","manXplc_obs",11.2304421452616,9.52485794904807,9.66276803339114,10.2571552395297,11.7407510198662,10.1925155957982,10.7978315639604,11.7883605743258
"CV","bap","cap","bap-cap","b-c","multi",13.2182889520811,10.0417863400962,10.3703276310998,10.7539940051013,11.6463576446146,11.4866450510577,10.7686026620873,10.1075914085721
"CV","bap","dap","bap-dap","b-d","plc_plos",9.51254896365552,8.71832605572564,9.06988637281107,8.02098089776581,9.70095108349009,8.21369055423731,10.401207260111,10.8564316336068
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",11.5419650843499,10.3800006614895,8.80243241790762,8.71556442798269,10.2092891974087,10.0898692432774,8.41031961706813,9.11718632166354
"CV","bap","fap","bap-fap","b-f","voiXman",9.09208930790214,10.1022608179459,9.19176342136951,9.06095833729494,10.125619924657,9.12487053182674,11.7118522408649,10.6598866222771
"CV","bap","gap","bap-gap","b-g","plc_plos",7.95878953416647,10.5889361663325,9.50912922011457,8.151744177601,9.64407805414471,9.96626708676141,9.72431510594454,NA
"CV","bap","hap","bap-hap","b-h","multi",12.8167982982548,10.3055825296317,9.638084292378,9.50364202335286,8.89820335942687,8.98620632791756,11.1460922918408,10.5173067861931
"CV","bap","jap","bap-jap","b-j","manXplc_obs",14.1122473017478,10.6493124702919,9.97149411536735,10.4905511164805,10.2300060932425,10.2803447764348,NA,NA
"CV","bap","kap","bap-kap","b-k","voiXplc",10.3801193151212,9.72256622657231,9.67924316622228,9.85527471634344,9.90513487462213,9.5905788439084,10.8877613922381,9.9203127765655
"CV","bap","lap","bap-lap","b-l","multi",10.3070216677879,10.6473407093042,10.8202801174492,10.017260545837,9.72398825952002,9.76375516392051,9.8623078354264,9.86763337167359
"CV","bap","map","bap-map","b-m","nasXson",15.6559785876114,11.227595856675,11.581924270794,10.1081220988284,10.4884687670188,11.4901471258755,10.7828555997745,11.2735760255227
"CV","bap","nap","bap-nap","b-n","multi",13.3240358102966,11.3884214371727,13.2478913026172,10.6877012328498,11.0270953863954,11.5367054505315,11.2549822904723,11.9706840923693
"CV","bap","pap","bap-pap","b-p","voi_plos",12.4937612962434,10.3426925049112,9.73301014174072,10.4631035125632,9.42372456889814,9.25340426267941,9.93279411572635,8.8346367717296
"CV","bap","rap","bap-rap","b-r","multi",13.2805168870925,9.36246808184872,10.5139856099471,9.42714907828145,10.342184222316,10.0544859496096,10.9499020157661,11.1560865007697
"CV","bap","sap","bap-sap","b-s","multi",12.6739172339825,11.9065251693167,10.3226576460353,9.42983846002103,11.6247656072785,11.8442950776258,11.9296013889362,10.8763075819317
"CV","bap","Sap","bap-Sap","b-S","multi",16.3846633812835,11.0065265911894,11.3916338645929,10.7518172558913,11.4759962108616,10.9491174871655,11.2664734437931,12.3311814369406
"CV","bap","tap","bap-tap","b-t","voiXplc",13.709280459498,10.4246038440858,9.32054779832461,9.30710231660531,8.80271650800061,8.7636742884586,10.3979408388655,10.9926038967022
"CV","bap","Tap","bap-Tap","b-T","multi",14.0440440376155,10.9975504390443,10.0656754389736,8.86201109791597,9.42144434671158,8.45420988002222,10.523225986902,9.04062161090896
"CV","bap","vap","bap-vap","b-v","man_obs",10.4893357582085,9.14492036257082,9.00691203624786,9.03017983406086,10.0148960807567,8.62012790556514,10.7368703984642,9.24903297776653
"CV","bap","zap","bap-zap","b-z","manXplc_obs",11.2728761685191,9.71547882275874,10.2556849924196,10.8090190509931,11.1824779668237,11.2055858764077,10.4698371141693,11.08212158101
"CV","bib","cib","bib-cib","b-c","multi",12.1715030208917,9.64668867348754,7.82966161468847,10.4378492156717,10.8501792297542,11.2973001813978,9.64218841946937,9.34819145405522
"CV","bib","dib","bib-dib","b-d","plc_plos",9.15197676398636,8.25967404319663,5.69635414347483,6.87654855007046,9.03724003795336,8.80110500212513,7.99620522394492,8.82853017934217
"CV","bib","Dib","bib-Dib","b-D","manXplc_obs",8.20313016947789,9.22568661357839,6.51966074010862,8.88987321401121,9.17331661970321,8.33789066231433,8.46732037878103,8.3387562845437
"CV","bib","fib","bib-fib","b-f","voiXman",10.6935561883649,8.55941989932356,7.99113122383929,8.3765792834838,10.3223833678887,10.3595912987641,11.4771805946299,10.5168681200688
"CV","bib","gib","bib-gib","b-g","plc_plos",8.81218016404053,9.5750393899278,8.5681554190703,8.19532433316935,8.95050044872375,9.87318320106372,8.79386601999414,NA
"CV","bib","hib","bib-hib","b-h","multi",12.4888452482228,9.32440393806297,8.0830258815264,8.22221526644768,9.91855184714791,9.34103674142712,10.503500566433,NA
"CV","bib","jib","bib-jib","b-j","manXplc_obs",9.82033455533452,8.70374060455107,NA,10.0168717761916,10.3758710275577,10.4395196041295,NA,NA
"CV","bib","kib","bib-kib","b-k","voiXplc",11.947737228485,10.404881854197,6.60914293741742,NA,9.6903772952834,10.2495249032402,10.4171679357633,NA
"CV","bib","lib","bib-lib","b-l","multi",11.2542177140715,9.03269741583636,7.54339963668064,8.81474453330408,10.2923975412189,10.6090412010444,9.70182525671164,8.39688033198749
"CV","bib","mib","bib-mib","b-m","nasXson",10.4150516509283,9.34153864029942,7.23576746800634,8.66157075346573,9.75786732065683,9.69015444647689,8.54961169894692,8.58361746235154
"CV","bib","nib","bib-nib","b-n","multi",9.66709551167033,10.1106252114722,6.76299322376017,8.40653867093244,10.8000829018988,10.5035793738789,9.36320258639237,10.4639389484855
"CV","bib","pib","bib-pib","b-p","voi_plos",9.25350481150862,8.93426074654039,6.8603539075818,8.7595284650486,9.54724118293636,9.18082091569899,9.40226316268856,8.67753742016918
"CV","bib","rib","bib-rib","b-r","multi",10.9346881493415,10.1386560769128,7.68053113248038,9.81965706932672,11.4395468525495,11.1419047363776,8.75279183996574,10.404746023363
"CV","bib","sib","bib-sib","b-s","multi",12.844938212591,9.1598711818973,8.27986928146585,10.6420370646066,11.4684847986327,11.0816955507294,11.7575157306382,10.6729683897328
"CV","bib","Sib","bib-Sib","b-S","multi",11.4589846237036,11.1205809597965,9.02039810357389,11.1681271827213,11.2148273979942,13.3855682108009,10.9339093118368,10.9076631293817
"CV","bib","tib","bib-tib","b-t","voiXplc",10.5106559089863,11.0179515306678,6.99144962649417,8.33020542823693,10.2702998100603,10.258955006344,9.78938401446207,10.8591007703773
"CV","bib","Tib","bib-Tib","b-T","multi",12.6527755935649,9.27097295925106,7.40780266910444,8.96431088603536,10.9347298116671,10.4766092581464,11.0698248564201,9.64042897705728
"CV","bib","vib","bib-vib","b-v","man_obs",10.8199575593278,9.80617825080108,7.43565579439375,9.05280588289468,10.3287579473119,8.77661599165227,9.44629011145717,9.21809735169266
"CV","bib","zib","bib-zib","b-z","manXplc_obs",11.370542282472,9.68948909660993,8.61965938122391,10.1173540581858,11.7487440524384,12.2330955059194,9.83532987450345,10.9244212546416
"CV","bip","cip","bip-cip","b-c","multi",9.0075588748244,11.0124628140566,9.62820557913735,9.65899997617579,9.19682243321287,9.58779379848179,10.732382075524,9.99282064023591
"CV","bip","dip","bip-dip","b-d","plc_plos",8.09197291786359,9.73070750019904,7.02739186784078,7.07690792170138,8.33230824773686,8.96370852687159,9.9931058312187,8.75447918669401
"CV","bip","Dip","bip-Dip","b-D","manXplc_obs",8.31674752856186,8.71556427662328,7.01595536909205,6.67117611135567,8.57029233382624,8.33251812781421,9.49967111094671,8.49157495679012
"CV","bip","fip","bip-fip","b-f","voiXman",12.5543228852239,13.1391741684023,9.38022989009245,9.11197528042341,9.0639291775313,9.49898366262333,11.8026163425716,10.1719283937632
"CV","bip","gip","bip-gip","b-g","plc_plos",12.1435236706005,10.5798476862934,8.76680915769249,8.17767680275211,8.42229980660018,8.69883951574654,12.1656935556046,11.0558809009319
"CV","bip","hip","bip-hip","b-h","multi",11.2598827360712,13.1692332179344,9.3225785796689,8.85033836844336,9.45663756525105,9.57238534470777,11.5857443266586,9.36898565782735
"CV","bip","jip","bip-jip","b-j","manXplc_obs",9.40369149005794,11.1224188731517,8.90299973353862,9.72392565033907,9.78496425958526,12.3677178771511,NA,10.0479359113845
"CV","bip","kip","bip-kip","b-k","voiXplc",8.23402153939507,11.2281845208442,8.54894151743124,8.63002815822841,8.99762946046031,9.08189762189425,9.12959096369955,9.57478096163627
"CV","bip","lip","bip-lip","b-l","multi",12.5588536811242,9.84878941366562,NA,7.95499502584979,10.9753784141428,11.1693125301803,10.4179096066458,10.4205065957187
"CV","bip","mip","bip-mip","b-m","nasXson",9.50658238831987,12.733574426505,9.0328602852845,8.96025583174278,9.29578334475253,9.74903007711286,10.1617671088459,NA
"CV","bip","nip","bip-nip","b-n","multi",12.1744141311378,11.4457603662153,7.98513768266891,8.06561452046943,11.3401887932324,11.308963092717,10.5246791708339,9.55126791767372
"CV","bip","pip","bip-pip","b-p","voi_plos",10.263789514458,10.1915999012674,7.76345424665772,7.71523742204232,8.40996598538924,9.58220844528253,11.0091417085168,8.14908918246828
"CV","bip","rip","bip-rip","b-r","multi",10.3501342545042,12.6916083003646,11.0573073933824,10.3876404285091,11.3710276075576,11.9369748920282,NA,10.6359451367253
"CV","bip","sip","bip-sip","b-s","multi",10.5858385741519,13.2591110908901,10.9220870233934,11.3430231557281,11.1840863025878,12.1259873620289,11.9750658588926,11.140218483435
"CV","bip","Sip","bip-Sip","b-S","multi",12.2068905375781,12.1334999013449,11.0451302961502,10.5027944754532,9.95377315085625,10.1664216871165,11.8706923964172,10.0180958190936
"CV","bip","tip","bip-tip","b-t","voiXplc",10.195432705293,11.247669468742,9.15646883208854,7.63403346188277,9.34767152646984,9.15350994526862,10.5926198490856,9.06584926760674
"CV","bip","Tip","bip-Tip","b-T","multi",10.8700992868631,12.6635548199992,9.2696157627097,9.2811332242711,8.70080437110893,11.5824954569593,13.4429974633516,10.8627307826417
"CV","bip","vip","bip-vip","b-v","man_obs",8.80042946878726,11.0024401971704,7.84935927141921,8.74737566465686,8.12311491563066,8.4548691865918,10.8331388008807,8.64250280731686
"CV","bip","zip","bip-zip","b-z","manXplc_obs",10.070699510407,11.0263869896023,9.5326371930935,9.88569346124322,11.0462894675678,11.7889357336584,9.81055086493687,11.4865196597551
"CV","bub","cub","bub-cub","b-c","multi",14.9194423451813,11.3275293805056,13.1781107986102,11.7471965778976,13.3944399997215,14.0659950710666,12.2631698393931,9.96372214420611
"CV","bub","Dub","bub-Dub","b-D","manXplc_obs",9.56314264395792,9.87336470510123,10.5701698893801,10.2586821064585,10.4663224364257,10.86113640861,10.9701459904591,9.91401839796054
"CV","bub","dub","bub-dub","b-d","plc_plos",11.0440448521446,8.88989755349819,10.4944425605588,10.6380945221504,11.0152728744848,7.21496246801567,10.2929181735375,9.14194284570915
"CV","bub","fub","bub-fub","b-f","voiXman",9.3916388248615,9.71202985238447,9.92518217321502,10.5779408883962,10.0243578086273,12.2069012365379,11.0102357056372,9.51900024893189
"CV","bub","gub","bub-gub","b-g","plc_plos",11.1456348046895,9.79649081272428,8.68320546076921,9.50991263659445,9.86053957272697,10.0407066218815,10.6849969645199,8.6546376354133
"CV","bub","hub","bub-hub","b-h","multi",10.2273765051766,9.30547440681073,10.7868470588106,NA,8.77631853582458,11.2046285790222,10.2197077977053,9.99619786575306
"CV","bub","jub","bub-jub","b-j","manXplc_obs",11.4447013826467,11.9074755653763,13.5125158947519,14.3018857361564,12.1574290211406,14.287166008107,11.8782032969223,10.9335591714423
"CV","bub","kub","bub-kub","b-k","voiXplc",10.952999026787,10.2280469548689,8.87733285734427,10.3601136069167,10.5185599174773,12.1844686717084,11.8313291383252,NA
"CV","bub","lub","bub-lub","b-l","multi",11.9716773477139,9.67657199271998,11.5988784846671,10.2305706782234,10.3585412244513,9.72770434069555,12.5543916568875,NA
"CV","bub","mub","bub-mub","b-m","nasXson",10.0804163141095,10.8180465987809,11.3021070947106,9.00670552096675,9.56696182205459,9.86385872289619,12.0038853996451,9.08128828905525
"CV","bub","nub","bub-nub","b-n","multi",10.8622010721058,12.1258123134216,12.7854613270617,12.7343029299609,10.5593882291991,10.0784941018155,11.5713702598119,11.154354336851
