"","DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"1","CV","bab","cab","bab-cab","b-c","multi",9.13798131717091,8.53252572804946,8.58150044842118,8.87402662852955,7.66867894806906,9.3495629988436,8.4399184647759,8.28265426319795
"2","CV","bab","dab","bab-dab","b-d","plc_plos",6.61686406546998,5.35678971008977,6.29799431802166,6.62666372557003,7.6194435935381,7.85450893943095,7.21431728886547,8.52840418315452
"3","CV","bab","Dab","bab-Dab","b-D","manXplc_obs",7.34740694826758,6.18627294541011,6.42782926971842,6.31993782709539,7.67309882177131,8.2189512514735,8.07410473258272,9.38534627664065
"4","CV","bab","fab","bab-fab","b-f","voiXman",10.7310143408625,9.27927543434156,7.20010494790938,6.28267392870052,6.62056207657605,8.39121321073775,7.02233088056685,9.76168072607963
"5","CV","bab","gab","bab-gab","b-g","plc_plos",9.17435209902878,5.91018369653213,6.029341708344,5.30261891491303,8.83740272121204,7.57324334071917,9.82003342042706,NA
"6","CV","bab","hab","bab-hab","b-h","multi",9.76779901892159,7.87213985523882,6.1370268310588,5.98065548321547,6.84209549107069,8.3529570771397,8.28379744199933,10.2217795275918
"7","CV","bab","jab","bab-jab","b-j","manXplc_obs",9.65395920117294,7.34273382180352,8.18265838217825,7.26766227474034,9.21379197588954,8.27694754087332,NA,NA
"8","CV","bab","kab","bab-kab","b-k","voiXplc",8.37397799492442,7.69699586760422,7.90451523731554,6.78739708838879,7.01474466000122,8.37048825137902,8.89094852398837,9.13831317990447
"9","CV","bab","lab","bab-lab","b-l","multi",9.59860261360722,7.03048582989158,5.32866946003814,6.23823035171658,8.10172167001718,8.46335524174583,8.8091718517327,7.50795653829605
"10","CV","bab","mab","bab-mab","b-m","nasXson",8.84992788496469,7.96061766552128,7.62133774920043,7.52295941226396,8.02169386740628,9.42172508957618,8.4418462324653,8.56494796053627
"11","CV","bab","nab","bab-nab","b-n","multi",9.0174864028953,8.12275564318313,7.6185785882902,8.83545953439267,9.4731063110979,8.34147166103983,9.96833549747385,7.58004298138519
"12","CV","bab","pab","bab-pab","b-p","voi_plos",10.2053630961654,8.41437201883078,6.1066455687564,6.00501955553398,6.05383632827688,7.25852844082634,10.220846730399,7.95483752101384
"13","CV","bab","rab","bab-rab","b-r","multi",7.15032427445887,6.74328262901121,6.23340513089816,7.47155749557647,8.86770201764744,8.28874313926785,7.972473783335,8.67187541460238
"14","CV","bab","sab","bab-sab","b-s","multi",10.3390447775081,9.36531171919878,7.44363511155548,6.88090235148775,10.2038867942058,8.33930668437848,10.074250481143,10.2594650549123
"15","CV","bab","Sab","bab-Sab","b-S","multi",12.0201896386265,9.64286766991123,9.38344798622982,8.96667491143936,8.08006225356449,11.1292642840585,9.66492523759755,9.96978279612595
"16","CV","bab","tab","bab-tab","b-t","voiXplc",8.54536126849114,7.84505801523971,6.68796767659343,6.6453981846719,6.39143426894231,6.80346902391456,7.90922214431769,8.60625316431957
"17","CV","bab","Tab","bab-Tab","b-T","multi",10.8839714776337,11.0438319060332,7.65701552759555,7.34085840284081,8.45449731624923,9.30666688139125,8.61029214493604,11.6357106279271
"18","CV","bab","vab","bab-vab","b-v","man_obs",8.53977326437041,7.82769989790724,6.24461553908794,7.58259825912769,7.27885044289044,9.36304894790029,7.28416384750687,8.58703975441598
"19","CV","bab","zab","bab-zab","b-z","manXplc_obs",9.56832180756274,7.39137306751313,8.71374497740901,8.43677685315998,9.73558379031152,8.73942916762806,8.45863495088256,9.79154589034725
"20","CV","bap","cap","bap-cap","b-c","multi",10.2004627237052,8.91265974474483,8.34233326382063,8.39652406947917,9.55740866413452,9.44863459094349,8.36878173143939,8.11086590849536
"21","CV","bap","dap","bap-dap","b-d","plc_plos",7.23613531310275,6.82659600450106,6.6945897656691,5.28090317717909,7.10888357421938,5.84116991531261,7.74339100835437,9.27086854706981
"22","CV","bap","Dap","bap-Dap","b-D","manXplc_obs",7.50733012597715,7.56977115812254,6.41955165713361,6.47631462585364,7.2259869932802,6.98450564281124,6.48406233983765,6.78673695309212
"23","CV","bap","fap","bap-fap","b-f","voiXman",7.07862000470178,9.13395176892259,7.17850147219534,6.81198967115825,9.70233807952905,8.64510873814146,9.33551357883627,8.76722110989715
"24","CV","bap","gap","bap-gap","b-g","plc_plos",5.88022069465618,7.5846991408289,7.41701048554467,5.97851291634697,7.0964356279423,7.7617191482333,6.78218403375026,7.33439710176357
"25","CV","bap","hap","bap-hap","b-h","multi",10.1480241451934,8.80070920794984,7.9034458851069,7.40640881346064,7.81410485898043,8.11285823997251,8.59069285089301,8.29187835403694
"26","CV","bap","jap","bap-jap","b-j","manXplc_obs",11.1570896657694,8.89935174373324,7.25428835152796,8.19734998012583,8.15424697336485,8.22303459848289,NA,9.65506568607817
"27","CV","bap","kap","bap-kap","b-k","voiXplc",8.19800087707643,8.08639881446402,7.03077563422821,7.15980623976581,7.60962721003547,7.7562527249725,8.87149108086432,7.99176546737112
"28","CV","bap","lap","bap-lap","b-l","multi",8.28825653080355,8.17440180583927,7.78261722676931,7.17456943413841,6.50253856890164,7.24507774557218,8.05786644445613,7.3142936856781
"29","CV","bap","map","bap-map","b-m","nasXson",10.794644638262,8.14956098261631,7.15979684224063,7.46430979764615,7.79790719647869,8.20989625211254,8.68606493551374,8.73679731334154
"30","CV","bap","nap","bap-nap","b-n","multi",9.9551889546652,8.28295763680867,9.62232594727625,7.49543166241883,7.9816676578656,8.50902768318358,8.89759860543155,9.67687196093827
"31","CV","bap","pap","bap-pap","b-p","voi_plos",9.63542262445564,8.39471118225159,6.93844028482945,7.99043986174533,7.59200640176488,6.90979703788779,7.23249916271754,6.82474082520344
"32","CV","bap","rap","bap-rap","b-r","multi",9.69644330262287,7.4996063588462,8.28165675966063,7.0811161835143,8.23762902216214,8.32085963872294,8.51835619325063,9.30755290750633
"33","CV","bap","sap","bap-sap","b-s","multi",10.5792374258739,10.4564248335697,7.8108512306957,6.73127769933174,8.92918379557984,10.1272752356199,9.57465325899108,8.44262152260966
"34","CV","bap","Sap","bap-Sap","b-S","multi",12.9103595269673,9.51601942179527,9.3668553852246,8.69429890461449,9.4203121554732,9.09968856452149,9.22408953437033,10.8137749899031
"35","CV","bap","tap","bap-tap","b-t","voiXplc",11.4348457129554,8.6057395667023,6.95901801062664,7.04912300755086,6.41301348553024,6.71658030285079,8.08252295670841,8.77760704638134
"36","CV","bap","Tap","bap-Tap","b-T","multi",11.0956799254758,9.70031844599932,8.11955617982685,6.86827163652217,7.94182327052264,7.92618897597079,8.32855319152008,6.90732959100636
"37","CV","bap","vap","bap-vap","b-v","man_obs",8.36923598675946,7.24731668437214,6.63697937568527,6.53351152118267,7.06767029810084,6.22755081086427,8.40003519351522,6.89515379647078
"38","CV","bap","zap","bap-zap","b-z","manXplc_obs",9.0480542239974,8.45594253969658,7.53348115588819,8.23290799154669,9.10323983187442,8.80729625115298,8.38494949501544,8.88878961345557
"39","CV","bib","cib","bib-cib","b-c","multi",10.5267831687117,8.0687758357322,6.35647975781957,9.04147112652323,9.59641111698814,9.13641264965431,8.15357566429534,7.88752645721913
"40","CV","bib","dib","bib-dib","b-d","plc_plos",7.22065331154785,7.05242114177272,4.29348667677332,5.4737163867552,7.29762892931959,6.78768585376126,6.26076783561873,6.76927835180839
"41","CV","bib","Dib","bib-Dib","b-D","manXplc_obs",6.80649045219047,8.10883473147106,5.16402000020238,7.66109785764117,7.45853579508824,6.64458044084922,6.84560533415864,6.2727167513488
"42","CV","bib","fib","bib-fib","b-f","voiXman",9.61888616212304,8.16034736822865,6.47555706697709,7.51741307722529,8.84218790051136,9.4943222918235,9.68928884812057,8.72393951617947
"43","CV","bib","gib","bib-gib","b-g","plc_plos",6.62781574831311,8.01818848928382,6.52740516490205,6.56637561358659,7.06655863919213,7.5694911625314,6.90879524473045,NA
"44","CV","bib","hib","bib-hib","b-h","multi",10.1074755703105,8.69881289189013,6.5069463846444,7.06103674754462,8.28380508106797,7.81879911468378,8.89226830027439,6.94126233635394
"45","CV","bib","jib","bib-jib","b-j","manXplc_obs",8.2558002831584,7.21547459257812,6.72985671479405,8.64493444272557,8.36700393166201,8.40689695132201,7.8535205158287,8.60804641817736
"46","CV","bib","kib","bib-kib","b-k","voiXplc",10.3005614161512,8.58899438544988,5.21821336430543,6.96839914159819,7.62071683580402,8.92602975035085,8.44882146218723,7.45783338655483
"47","CV","bib","lib","bib-lib","b-l","multi",9.38094678302714,7.13133072153598,5.73302053946084,7.22051749210423,8.64625945678508,9.10068955516516,7.50482035059612,6.83829194894375
