"","DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"1","CV","bab","cab","bab-cab","b-c","multi",7.78487467551129,7.90396223836737,7.49529640504276,7.76112194020501,6.26950204853399,7.28665350583168,7.40314307592674,7.18718998264765
"2","CV","bab","dab","bab-dab","b-d","plc_plos",4.51264941151504,4.31832082876115,4.71373855983162,5.27829795773891,6.44182586347899,6.44569099650824,5.65338694704962,6.70604646585957
"3","CV","bab","Dab","bab-Dab","b-D","manXplc_obs",6.10155200886682,5.29790401011971,5.27620665277039,5.39973978872595,6.99877918682655,7.07998405576872,6.50055419718646,8.21159608714931
"4","CV","bab","fab","bab-fab","b-f","voiXman",9.87644438427876,8.31851617732122,6.09397831311032,5.2824263149471,5.78829555997499,6.22545221605932,6.30050477775298,8.412248651459
"5","CV","bab","gab","bab-gab","b-g","plc_plos",8.30493266237711,5.26211486962236,4.58812794429812,4.33389998211255,7.34841477913536,4.83305902609931,8.37622931981654,NA
"6","CV","bab","hab","bab-hab","b-h","multi",8.88579661483175,6.65322274768149,4.68398163013386,5.03879177085076,5.82807696911649,6.70912847261325,7.25001250714881,8.36109144644217
"7","CV","bab","jab","bab-jab","b-j","manXplc_obs",8.42963635335712,6.41496361992072,6.84775375077412,6.20170515348501,8.08476371347404,7.32046748929851,NA,NA
"8","CV","bab","kab","bab-kab","b-k","voiXplc",6.89857938915226,7.09384113660674,6.87743100753574,5.28078379613967,5.7876494870849,6.1887294524316,7.31913234044665,8.00658045575602
"9","CV","bab","lab","bab-lab","b-l","multi",6.8948640354747,5.81879093659595,4.61955602792654,5.27930698711706,6.97822707291839,6.87490724344907,7.26549899385842,6.21916386005793
"10","CV","bab","mab","bab-mab","b-m","nasXson",7.30711079754876,6.55535226672485,6.37126774881014,6.38990468514112,6.9160213036734,7.62096424391288,7.63966401976366,7.31250988592668
"11","CV","bab","nab","bab-nab","b-n","multi",6.05372507635864,7.11474777236068,6.66000644612769,7.83804656435989,7.81804072001142,6.6627125721263,8.52396429710384,6.46285909888126
"12","CV","bab","pab","bab-pab","b-p","voi_plos",7.69154318537098,7.05072580887514,5.04431250010804,5.10987067781176,4.87698101663169,5.54215748928495,7.53443942680651,6.35548646159878
"13","CV","bab","rab","bab-rab","b-r","multi",6.23623712962733,5.67572861779055,4.94751848479871,6.55095123022103,7.74427080824521,7.02205049304504,6.19191837779028,7.26615598201738
