"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",9.62719470173324,9.8216351140079,10.8617069445247,11.4634889374843,9.47378077944199,11.2498202440584,10.5744501991679,10.8123431737502
"CV","bab","dab","bab-dab","b-d","plc_plos",8.2242844783922,8.39250598691004,8.44917232493978,8.808480345623,10.1515492009822,9.59444892479263,10.2664136521299,11.1163834229786
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",9.5136204697919,8.36746115500053,8.62356195744172,8.81042508031265,10.1379850065882,NA,10.8803338690832,11.6302421489773
"CV","bab","fab","bab-fab","b-f","voiXman",11.5289109220903,9.49931843444331,9.0857593871142,8.72870128415572,8.09210803460991,9.45326740869612,9.79400560743446,12.7297092599651
"CV","bab","gab","bab-gab","b-g","plc_plos",10.7760967500407,7.55617662140174,9.0641787350072,8.06037335389684,10.3938868530408,9.56795320852179,12.3384255069221,NA
"CV","bab","hab","bab-hab","b-h","multi",11.7649813455494,8.77647028033278,8.56241155131054,9.06968844563819,7.94344451876641,9.25350463732975,NA,NA
"CV","bab","jab","bab-jab","b-j","manXplc_obs",10.6785712202055,8.99936797187294,9.96746226788345,9.52174948527212,NA,9.56220081081579,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",10.0073862356045,8.54634604840953,10.1019691597524,9.33770845343797,8.76424948964276,10.705767800731,NA,NA
"CV","bab","lab","bab-lab","b-l","multi",11.3764782014486,8.97371218506838,8.5031050820235,9.48068832002659,NA,10.6786773562392,11.3024096312483,10.7314011546584
"CV","bab","mab","bab-mab","b-m","nasXson",NA,NA,10.0850795779895,10.2775298394896,9.89452205652848,12.2560198692179,NA,11.2161156814405
"CV","bab","nab","bab-nab","b-n","multi",11.2422325751131,9.70526405434613,9.84889823477917,11.6743046877691,11.4816101174035,10.7679299496077,13.6492327335085,10.6150320706841
"CV","bab","pab","bab-pab","b-p","voi_plos",12.6262937578516,9.22593725270235,8.62278450097068,NA,8.27272303376912,9.42338295395132,13.0186470808144,10.6101496118824
"CV","bab","rab","bab-rab","b-r","multi",9.77741964073107,8.74519716565324,NA,10.1390501002714,10.2893933530944,10.361995690111,11.249858007098,11.0818271160753
"CV","bab","sab","bab-sab","b-s","multi",11.1403193023248,9.7903308958937,9.50384162770469,8.77805986282984,12.4672187226189,9.92275192180878,12.8918515440189,12.8104710482594
"CV","bab","Sab","bab-Sab","b-S","multi",13.3182132282309,9.7307967797776,10.8012274273412,10.7046354115178,10.0587459856798,12.3754449891139,11.6595881930122,12.1814671145509
"CV","bab","tab","bab-tab","b-t","voiXplc",9.92943803858224,9.43174160015688,8.9541096781868,8.69083591872862,8.53444701876348,8.48682633235789,11.6663492677532,11.4119294284296
"CV","bab","Tab","bab-Tab","b-T","multi",12.0228984630151,11.0504129154726,9.3511196687116,9.14029963722385,9.16680372676107,10.4571996454663,11.0921695199266,13.4397044407808
"CV","bab","vab","bab-vab","b-v","man_obs",10.9590368013653,8.70834532818233,NA,9.43638124654838,8.63161829546858,11.0330491680827,NA,NA
"CV","bab","zab","bab-zab","b-z","manXplc_obs",10.8769749796504,9.12809524293111,9.93991300151014,10.1940602332481,11.8192699436987,10.3632875118022,NA,NA
"CV","bap","cap","bap-cap","b-c","multi",12.6700496090034,10.1217982109189,10.5696110965955,10.9928968890442,11.9546711479865,11.9547084240444,10.9484527069963,10.5723918593698
"CV","bap","dap","bap-dap","b-d","plc_plos",9.64506697294673,9.04680849921818,9.3236492705499,8.27229581251822,9.79994527566286,8.5506076874992,10.8510012970655,NA
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",11.4240161496977,10.7374249487017,8.98780792349121,8.94780094378198,10.5025831876984,10.3865175073318,9.27845327325563,9.40810667355587
"CV","bap","fap","bap-fap","b-f","voiXman",8.73405214091389,9.49883382732467,9.35574553912145,9.25785525528056,10.0583027248003,9.2359600945291,12.2826583082668,10.9551636927871
"CV","bap","gap","bap-gap","b-g","plc_plos",7.96777176628182,10.8834453693302,9.92898573864421,8.4352084929226,9.96699590504592,10.2874018561808,NA,NA
"CV","bap","hap","bap-hap","b-h","multi",12.4745031890838,9.9839017211166,9.77210491705358,9.68100213531287,9.13454016125467,9.16926926539801,11.2355301005409,10.91370706814
"CV","bap","jap","bap-jap","b-j","manXplc_obs",13.7448482227037,10.9164045618391,10.3374898522364,10.6493484470767,10.557527088688,10.6528554284873,NA,NA
"CV","bap","kap","bap-kap","b-k","voiXplc",10.1591622898368,9.76950500808806,10.0173777863868,10.0866852145776,10.4095242934793,9.91116615537305,11.5435591317091,NA
"CV","bap","lap","bap-lap","b-l","multi",10.4998476373433,10.7630527207318,11.0149865277456,10.3082375322475,10.0030538789992,9.97929673321899,10.4092160510744,10.2220750654814
"CV","bap","map","bap-map","b-m","nasXson",15.3537029332825,11.5312832997596,11.6667642606905,10.2725304547795,10.7715241080899,11.8139519740514,10.653098997447,11.4705349105176
"CV","bap","nap","bap-nap","b-n","multi",13.1687786299303,11.7626802929674,13.3071052704461,10.9409461349113,11.4758465145228,11.6994668261843,11.2931467181407,12.1464700134612
"CV","bap","pap","bap-pap","b-p","voi_plos",12.4424807949006,10.3681125651995,9.87897580655281,10.6243783615919,9.8916609106889,9.43558413643811,10.5821857126158,9.29973149249281
"CV","bap","rap","bap-rap","b-r","multi",13.3951136522011,9.87147510732162,10.6971870152221,9.5854719452647,10.7699246701116,10.0700822729831,11.4862133628965,11.4059339523614
"CV","bap","sap","bap-sap","b-s","multi",12.0198064387988,11.7918755343016,10.2291186262979,9.58772912795602,11.9865677044494,12.1678678233811,11.5488976396227,11.2434226526192
"CV","bap","Sap","bap-Sap","b-S","multi",15.5645533594115,10.9442984308161,11.6633325096248,10.7561172096486,11.7139096424942,11.3212160374854,11.5039554294989,12.6609637757948
"CV","bap","tap","bap-tap","b-t","voiXplc",13.3627080736666,10.5471267824116,9.68609953144197,9.49367309201415,9.35053295044217,9.19124851087252,10.8943807248729,10.9502632287429
"CV","bap","Tap","bap-Tap","b-T","multi",13.5354516495045,10.174115621242,10.1622012215514,9.07027929912027,9.62500737048411,8.55928737770238,10.7071400042731,9.5055687022095
"CV","bap","vap","bap-vap","b-v","man_obs",10.3405021507828,9.63759551449944,9.35603802330315,9.12322834673653,10.3087690011429,8.78500273017037,11.0727534709654,9.38965904363324
"CV","bap","zap","bap-zap","b-z","manXplc_obs",10.977336403549,10.3328060458664,10.6352836472234,10.8894867868992,11.4742354567056,11.4553439441161,10.8610392393135,11.3474488444385
"CV","bib","cib","bib-cib","b-c","multi",12.2257362362186,9.65667156516111,8.22892095319656,10.6649889872291,10.7808777255201,11.170808028411,10.5796150171427,10.3587970033678
"CV","bib","dib","bib-dib","b-d","plc_plos",9.27570261933599,8.20789578310946,5.85967927398269,7.21124341602931,8.95919997364138,8.79682480790765,8.98536189469118,9.47639269870841
"CV","bib","Dib","bib-Dib","b-D","manXplc_obs",8.17844201455168,9.23666117039255,6.81483896717662,9.15310969725042,9.32840701513094,8.47148207278211,9.14209107595342,8.95264611426213
"CV","bib","fib","bib-fib","b-f","voiXman",9.96654446504961,8.47185956316496,8.23401133713053,8.32339377266619,9.71721969407539,10.0375882636822,12.2766020714637,10.6063097192748
"CV","bib","gib","bib-gib","b-g","plc_plos",8.81945067292514,9.60264098611545,8.54188843574603,NA,8.68527132230957,10.1612102923208,9.57795739665104,NA
"CV","bib","hib","bib-hib","b-h","multi",11.7650067387319,9.14116953338298,8.28661978926688,8.3527236715709,9.59350286878339,NA,11.3424630256377,NA
"CV","bib","jib","bib-jib","b-j","manXplc_obs",9.85212088611243,8.98476944976561,NA,10.0396142695604,10.243912122373,10.3531635259073,NA,NA
"CV","bib","kib","bib-kib","b-k","voiXplc",11.2912360491964,10.2403972413178,6.94061235235917,NA,9.71909528227239,10.167507572579,NA,NA
"CV","bib","lib","bib-lib","b-l","multi",10.6554586231455,8.86755029063752,7.75356580452508,8.94220883951088,10.1203911737938,10.6456557459199,10.4644517243663,9.25738539071965
"CV","bib","mib","bib-mib","b-m","nasXson",10.532260157203,NA,7.63469107237004,8.76060409867078,9.6986543764934,9.58560461969145,NA,NA
"CV","bib","nib","bib-nib","b-n","multi",10.0042701469786,9.87924907114813,7.18696243611127,8.61525535445803,10.9481182430728,10.8522673180059,9.89477718342313,10.9210677134265
"CV","bib","pib","bib-pib","b-p","voi_plos",9.09825036057198,9.10569591023184,7.39148184194449,8.98255152697633,9.57400058757442,9.13678761182901,NA,9.43757034043638
"CV","bib","rib","bib-rib","b-r","multi",10.7587392981571,10.5087058349133,7.94055631179558,9.94372101340259,11.5375114758238,11.4334392616182,9.42427335363121,10.9454292724542
"CV","bib","sib","bib-sib","b-s","multi",12.5148469898398,9.17728153588408,8.56257223188698,10.7318805459918,11.3451111898528,10.9566210720224,12.4114545617095,11.1877541708662
"CV","bib","Sib","bib-Sib","b-S","multi",11.4099622498754,10.9354985541739,9.1681259454292,11.3166323376695,11.1664303988799,13.2954386387021,11.9526320295864,11.302897707174
"CV","bib","tib","bib-tib","b-t","voiXplc",10.2943162761812,10.9477505859404,7.29900616827754,8.5192505641873,10.4794179505951,10.2874435434346,10.4631275346944,11.346474772109
"CV","bib","Tib","bib-Tib","b-T","multi",12.1513250538895,9.14705638714486,7.69957000992079,8.80259113368083,10.8229282427724,10.2084392344239,11.9819735537515,9.98004816276254
"CV","bib","vib","bib-vib","b-v","man_obs",10.4668286513653,9.73589505793372,7.40750652135971,9.13351972586502,10.5106453124843,9.00456666533235,10.3338416213042,9.95944509478077
"CV","bib","zib","bib-zib","b-z","manXplc_obs",11.1148078615737,10.0249970732824,8.88946141467511,10.2530738659757,11.7910030633008,12.2734830851097,NA,11.4779397968029
"CV","bip","cip","bip-cip","b-c","multi",9.19768122667245,11.0973750688616,9.97598384098968,9.91893134640999,9.68413637186734,9.82285647051974,11.2883668426932,10.5847578764729
"CV","bip","dip","bip-dip","b-d","plc_plos",8.46052171547376,9.99325124904768,7.40579619030982,7.43742637952019,8.83111423844396,9.15977952629767,10.4490290924212,9.29684287549436
"CV","bip","Dip","bip-Dip","b-D","manXplc_obs",8.58537817866744,8.70544382187082,7.55071794773305,7.10322887382116,8.97959770117768,8.89216390327089,10.3191704294501,8.95209568640981
"CV","bip","fip","bip-fip","b-f","voiXman",11.1541779865449,12.563601872165,8.90407090102102,8.9081956564753,9.34025113312807,9.44356854533409,12.1017113149685,10.3585787391781
"CV","bip","gip","bip-gip","b-g","plc_plos",12.2566448211368,10.6478282670991,8.96536096042818,8.32877693598205,8.9043907942472,9.17753821519852,11.9731132011744,11.1205892656457
"CV","bip","hip","bip-hip","b-h","multi",10.459755542756,12.8140010682621,9.51879047027502,9.17328813553182,9.58890906964118,9.29487125202756,11.876090199273,9.73272925055031
"CV","bip","jip","bip-jip","b-j","manXplc_obs",9.52045211091565,11.0865744430492,9.23048467274723,9.81248313204262,10.14111248129,12.4099962263946,NA,10.1725294601987
"CV","bip","kip","bip-kip","b-k","voiXplc",8.25767505990241,10.9305184761839,8.92957450607257,8.96596473867831,9.49375359665761,9.15744527096086,10.0369012363525,NA
"CV","bip","lip","bip-lip","b-l","multi",12.515668802036,10.2448910623582,NA,8.33018710753547,11.0998198655357,11.3933719318885,10.796658564945,10.8118016213501
"CV","bip","mip","bip-mip","b-m","nasXson",9.7357772890179,13.0548753252097,9.40678003140054,9.2417106012596,9.66813121625642,10.1582267079638,10.8718256321014,NA
"CV","bip","nip","bip-nip","b-n","multi",12.5124674476454,11.6355171881293,8.31543303749734,8.2716993031757,11.4086124203043,11.6715335699866,10.7341199769992,9.94997227397198
"CV","bip","pip","bip-pip","b-p","voi_plos",9.96943667915414,10.1640597711279,8.12034093328104,8.09949700811522,8.74850646991628,9.88596070613081,11.1202098115408,8.802669210069
"CV","bip","rip","bip-rip","b-r","multi",10.8621988425793,12.6438716448715,10.9504824856945,10.5101134678615,11.5853427674436,12.0626887059264,NA,10.943610996698
"CV","bip","sip","bip-sip","b-s","multi",10.6981747153382,12.5134388668288,11.0883061425581,11.2998147338494,11.415046442209,12.0438115267854,12.32932597598,11.3077853921058
"CV","bip","Sip","bip-Sip","b-S","multi",11.7039340858241,11.8723178772556,11.3676190668622,10.7810109849339,10.2187852375817,10.2971929316551,12.1196841924947,10.5010430254685
"CV","bip","tip","bip-tip","b-t","voiXplc",9.82758334932425,11.0798036069627,9.62049100364978,8.25094936614849,9.93104207986824,9.3868678204845,11.2195918049648,9.75653279748075
"CV","bip","Tip","bip-Tip","b-T","multi",9.62137226268322,12.2057612646185,9.29773814514624,8.85262435507808,8.99889572213352,10.9350466239878,13.3177976533355,10.9126092448464
"CV","bip","vip","bip-vip","b-v","man_obs",9.4364389586863,10.7266841904016,7.73553678880772,8.57381350413219,8.5861984117054,8.62202676203039,10.9930079727411,9.08254987819404
"CV","bip","zip","bip-zip","b-z","manXplc_obs",10.5560693243926,10.9740301996904,10.0593260485759,10.396610412244,11.5036927552445,12.278575064701,10.2308146206653,11.73187456265
"CV","bub","cub","bub-cub","b-c","multi",14.931846516192,11.362614548035,13.227046675829,11.7109106980688,13.6152460323169,13.3483990208728,12.5149493709062,NA
"CV","bub","Dub","bub-Dub","b-D","manXplc_obs",9.74361715321749,10.0035232785246,10.8087928466063,10.0509634624742,10.4561031552912,10.5686483520136,11.526232338999,NA
"CV","bub","dub","bub-dub","b-d","plc_plos",10.800751235466,8.70768002955807,10.3164729486674,10.6545986679369,11.10785094318,7.46179416883015,NA,NA
"CV","bub","fub","bub-fub","b-f","voiXman",9.51435015860177,9.31244387974044,9.75889966780429,10.1141360079961,10.2941840125221,11.2934544302072,10.8944543959075,NA
"CV","bub","gub","bub-gub","b-g","plc_plos",11.0104990670532,9.59090230654665,8.8330654339209,9.59119838213162,9.81139169650486,NA,11.1683657566635,NA
"CV","bub","hub","bub-hub","b-h","multi",10.2273083367882,9.13244317205406,11.0041028925325,NA,8.90121502389253,10.3665347125471,NA,NA
"CV","bub","jub","bub-jub","b-j","manXplc_obs",11.3591516047534,12.0315814329377,NA,14.2353080489803,12.3293847770481,13.8544531058637,12.6328722518292,NA
"CV","bub","kub","bub-kub","b-k","voiXplc",11.0476621934498,10.3399954423906,9.15469086471584,10.1478550413266,10.6902067709581,11.5525558001238,NA,NA
"CV","bub","lub","bub-lub","b-l","multi",11.7914391464175,9.71591944268264,11.5577051954015,NA,10.5783779289889,9.79056274150604,12.9912299483065,NA
"CV","bub","mub","bub-mub","b-m","nasXson",10.3095739576377,10.8372793464437,11.240496141703,9.11187984861448,9.58509579639667,9.68651873792368,12.5065871132295,NA
"CV","bub","nub","bub-nub","b-n","multi",10.914556592942,12.2118632455003,12.7395985855487,12.8659483033043,10.6127012981689,NA,12.4845421762034,NA
"CV","bub","pub","bub-pub","b-p","voi_plos",9.69314722549455,8.30282978133728,8.52345747757266,9.56873257636789,9.31013114764406,9.48489864784758,NA,NA
"CV","bub","rub","bub-rub","b-r","multi",11.6174992326913,13.2686422238387,9.51697413723371,9.05328814464612,10.4634536102752,11.4399553325827,13.2477366046655,NA
"CV","bub","Sub","bub-Sub","b-S","multi",15.0586969735161,13.6136752849552,NA,13.8173592773417,12.5436033388717,14.3372199808576,12.821385156369,NA
"CV","bub","sub","bub-sub","b-s","multi",12.681965625983,10.7852342391765,12.2864442841056,11.9192003028888,NA,15.3257348035529,13.3978446022946,NA
"CV","bub","Tub","bub-Tub","b-T","multi",9.68586169163546,11.0473041740425,11.4410156038445,NA,11.1530374267353,12.9836807425721,14.0341154893341,NA
"CV","bub","tub","bub-tub","b-t","voiXplc",11.3551375615145,10.2608038619954,11.0034894620577,12.0933110170322,11.981596817998,12.5891230441143,10.6709688968016,NA
"CV","bub","vub","bub-vub","b-v","man_obs",9.95618136489071,8.96560595914937,9.59556526195761,9.92440185042047,8.77310091778782,9.33613049166672,11.1029158683119,NA
"CV","bub","zub","bub-zub","b-z","manXplc_obs",9.91524611814508,10.044124249382,13.9637781697421,12.2960033572795,13.0129291293644,11.36870137583,10.4929505463201,NA
"CV","bup","cup","bup-cup","b-c","multi",14.2742397968731,13.2924876654298,11.7627586338855,12.3918097281625,14.1206513032646,13.4990916609697,11.5406643540166,10.9601829014595
"CV","bup","Dup","bup-Dup","b-D","manXplc_obs",11.9674880078966,10.4345815396353,9.11624459055194,10.3900250043032,11.0910700125655,10.2129607503671,9.86265966833057,9.95077006485171
"CV","bup","dup","bup-dup","b-d","plc_plos",11.1767761043415,11.1111231798172,10.586989138,9.67067181692367,10.7878225892643,11.7295313983428,11.1666270773895,9.77801979725164
"CV","bup","fup","bup-fup","b-f","voiXman",13.9701943122986,9.95598102070749,8.93194317805096,10.5760539993631,11.4561538902736,10.6663299446981,9.93798606775048,9.31814673057401
"CV","bup","gup","bup-gup","b-g","plc_plos",13.0009668447913,9.56747086071194,8.43664288515175,8.16198806107028,12.0271307398311,9.31020440568887,NA,9.66729949203942
"CV","bup","hup","bup-hup","b-h","multi",12.7757698292982,9.9460606187944,9.33981093843542,8.76902710041497,9.86575386476161,9.44916743886766,10.6684612515058,11.260112335524
"CV","bup","jup","bup-jup","b-j","manXplc_obs",13.6664799425414,11.2774136649055,NA,11.3065748959648,12.8045403960937,13.1076770761425,11.2743883036078,9.96177830237991
"CV","bup","kup","bup-kup","b-k","voiXplc",13.565290953696,10.5932931505214,9.82784581446378,9.92280630872396,12.2929377296975,9.46616538744282,10.7090445709999,10.1521225421246
"CV","bup","lup","bup-lup","b-l","multi",14.1471061464971,11.3811528327658,9.36100677114752,8.67748087476656,11.3213865927815,10.898881375963,9.77247303165675,10.4489948308165
"CV","bup","mup","bup-mup","b-m","nasXson",11.1686754405055,9.64340543920691,10.5761421793465,9.49573151401746,9.43386220928333,10.858309566083,10.1547654825227,9.81068513800074
"CV","bup","nup","bup-nup","b-n","multi",10.4011029372284,10.8725220953037,10.2762147289736,11.4127417913284,10.6105898568876,11.6078441927008,11.726921021076,NA
"CV","bup","pup","bup-pup","b-p","voi_plos",11.3099241671766,10.1397633948507,8.39860736050938,10.7891735624859,10.5819400673033,9.7530838327912,8.78388388085522,9.92534073957934
"CV","bup","rup","bup-rup","b-r","multi",12.464305967275,11.823645853422,9.67947642244524,10.5230916289768,12.778762879664,10.2531864059281,9.51990084826661,11.3262924287686
"CV","bup","Sup","bup-Sup","b-S","multi",15.8859395758328,12.6382594122959,12.6317113917832,13.6839105493902,14.3291051272128,14.7923433372637,12.1459999947004,11.882678507602
"CV","bup","sup","bup-sup","b-s","multi",14.8573025039774,12.0419043847278,11.9998008730427,12.7198982086399,14.9859378781614,13.9840854737777,11.1454555065644,11.0383336644784
"CV","bup","Tup","bup-Tup","b-T","multi",14.9430212571245,11.9233597672636,10.7968985956763,10.8221805735201,11.1058607954215,11.4695847482348,10.699885736958,11.5526011131975
"CV","bup","tup","bup-tup","b-t","voiXplc",12.1578207064808,12.3644995250042,11.4644340422371,11.1046035028445,11.8513645547346,12.5578374571186,11.8940916419277,10.2903578822469
"CV","bup","vup","bup-vup","b-v","man_obs",9.34235981073004,11.3524010198089,8.66751970995916,8.67848305788354,9.83553501058894,8.29885479841631,NA,NA
"CV","bup","zup","bup-zup","b-z","manXplc_obs",12.5010906326872,11.3343136921617,11.0722794550555,10.8633395163236,12.6510079942931,13.448135903202,11.2583612877502,10.5450181673561
"CV","cab","dab","cab-dab","c-d","multi",8.56037274652765,10.6717091679118,10.641513379448,9.04284559348974,10.9766938105536,9.50725591133361,10.0826009656567,9.50604482141201
"CV","cab","Dab","cab-Dab","c-D","multi",10.8024019690929,11.3764722012783,9.99457914819672,10.6026156868119,12.5886020976588,NA,11.5828051178877,12.8362713789949
"CV","cab","fab","cab-fab","c-f","manXplc_obs",9.5874965808496,10.1213924439246,11.0489187945417,11.7231279641719,8.97982937102211,9.75018182956962,10.0711116380914,11.5326541307103
"CV","cab","gab","cab-gab","c-g","multi",11.3010441459024,8.1172383299726,10.1953775325284,9.56588700234244,11.6294423998805,10.4779173405668,10.398485949255,NA
"CV","cab","hab","cab-hab","c-h","manXplc_obs",12.8574541280477,9.2595227089828,11.3704999423597,12.341056122947,9.80395213861718,10.7355852713233,NA,NA
"CV","cab","jab","cab-jab","c-j","voi_aff",8.64472080187007,8.22538323816255,11.4249561533284,10.1437976842069,NA,10.885081376518,NA,NA
"CV","cab","kab","cab-kab","c-k","manXplc_obs",11.3841360002378,10.705030784516,10.1804839145181,10.7594742427743,9.7563130200206,9.95245210474279,NA,NA
"CV","cab","lab","cab-lab","c-l","multi",13.1599522007945,12.31785249154,11.4071332225965,13.5287584936361,NA,11.8908225943323,13.6445626448832,12.204596176519
"CV","cab","mab","cab-mab","c-m","multi",NA,NA,12.0631887460957,11.0861350670444,12.2242634735843,14.586383379253,NA,13.1990632746865
"CV","cab","nab","cab-nab","c-n","multi",12.3654717502141,10.5705349109718,10.4937492719637,10.7193590611896,12.4718813418926,13.420835737336,12.2035915582571,13.0380008397289
"CV","cab","pab","cab-pab","c-p","manXplc_obs",12.6892564279291,12.0182581423341,9.30702773029277,NA,9.90332836305923,10.995009002465,12.2887326016086,10.4668991171391
"CV","cab","rab","cab-rab","c-r","multi",11.3720775015963,11.5424752448335,NA,13.2019066869068,11.1561208642482,13.0035269434586,13.4215098098273,12.7600361264255
"CV","cab","sab","cab-sab","c-s","manXplc_obs",10.8353964908165,10.7478108798642,10.4736383153902,10.0397641623119,12.7477318209674,9.89101519600817,11.8690510273057,10.777810428064
"CV","cab","Sab","cab-Sab","c-S","man_obs",10.5792534280983,7.98020404073114,8.33884725377371,9.50085653771388,7.75051989656177,9.10123178766408,10.8197803241624,10.9085346783966
"CV","cab","tab","cab-tab","c-t","manXplc_obs",8.57900233712635,11.409498445906,9.49773838274904,9.15806841963413,9.6890567480559,10.0365072381433,11.5020886300991,11.9106256025528
"CV","cab","Tab","cab-Tab","c-T","manXplc_obs",9.98018375535932,10.8907844159302,10.7805784145817,11.7428018330946,10.0080157410848,9.92711857173422,10.712920398265,11.9827908623452
"CV","cab","vab","cab-vab","c-v","multi",12.4576902496681,12.9602011806826,NA,11.1898717831767,10.9945757015056,11.8765966345965,NA,NA
"CV","cab","zab","cab-zab","c-z","multi",12.8421500302836,12.5555794702253,10.8092448627378,10.5411501345876,13.078146910445,11.9659108736441,NA,NA
"CV","cap","dap","cap-dap","c-d","multi",11.0374611461988,10.0796217041135,9.56055957522653,10.3326652327479,10.2079570941594,10.5905023389876,10.8823463802413,NA
"CV","cap","Dap","cap-Dap","c-D","multi",11.3489622387888,11.7440898790616,9.97055478433604,11.8331735930575,11.0821194550673,12.604513225866,11.4036943099228,10.1628869461523
"CV","cap","fap","cap-fap","c-f","manXplc_obs",12.5218178613832,10.1213684189456,9.61942308714308,10.5990012998774,10.4085844450873,11.2565928579675,12.1104932860545,10.6613946672402
"CV","cap","gap","cap-gap","c-g","multi",13.1919915983458,12.1793006102728,9.93365734690823,10.3640404752171,11.7704060342865,11.8635980248729,NA,NA
"CV","cap","hap","cap-hap","c-h","manXplc_obs",10.601315890004,11.3353396166265,10.5978925507041,10.5090338433623,12.3547713722209,12.7542896439189,12.1804939061163,11.6471891356661
"CV","cap","jap","cap-jap","c-j","voi_aff",11.2045911327677,10.7760079365057,8.12856817244847,10.4140781228945,9.5701211442085,10.2850639032279,NA,NA
"CV","cap","kap","cap-kap","c-k","manXplc_obs",12.6197442512384,11.8319228819166,10.9238188050995,10.8491342463663,12.2301991299846,13.2781469742301,11.4291009302378,NA
"CV","cap","lap","cap-lap","c-l","multi",13.7421814968174,14.5448229811453,12.6857980549297,13.541514311276,12.3341937555352,13.7344939970558,13.9716780768615,12.3329953069736
"CV","cap","map","cap-map","c-m","multi",13.3494386026928,12.9110443406277,12.176644304222,12.1700324607422,12.1720195293764,14.1566364629712,13.3246440980609,13.6132733955369
"CV","cap","nap","cap-nap","c-n","multi",13.0803751178188,12.756400971936,11.8121450010153,12.3778722351014,12.1139818896848,12.7418436888838,13.2102169787507,13.4898377435481
"CV","cap","pap","cap-pap","c-p","manXplc_obs",11.0625686413043,11.5101937584095,9.94745968442884,11.8314904299564,11.9253470544188,12.310038281971,12.013796976116,11.2786031498095
"CV","cap","rap","cap-rap","c-r","multi",13.2878310550945,12.5121626932477,11.2559993658009,12.5534061519478,12.4197636737444,13.8777209709637,13.4672275096747,12.5617118336992
"CV","cap","sap","cap-sap","c-s","manXplc_obs",10.9322393504845,12.0704262094317,10.1383435485335,10.7469219622072,11.8677914605738,11.8102758065096,11.4967041625524,10.9559929112185
