"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","jib","rib","jib-rib","j-r","multi",12.7592988410166,12.9316689778186,11.2938658372142,10.0825252696135,13.3567397795132,14.4541835325701,12.5735294334056,13.4863696536872
"CV","jib","sib","jib-sib","j-s","multi",12.6352057651074,11.5640919367587,10.9788628555123,10.1636576801165,12.8722898118597,10.8892066630265,11.8571549318061,11.4531325895218
"CV","jib","Sib","jib-Sib","j-S","voiXman",11.5041593535229,11.2218890241331,8.05719717402593,7.59752254825393,8.117085345671,9.82489225659035,11.0911294593497,10.2244051872296
"CV","jib","tib","jib-tib","j-t","voiXman",11.8706697462754,12.4915916550846,9.6632814294356,8.8314119239032,10.8531256315999,10.0209652666219,10.6889262281797,12.0617780962626
"CV","jib","Tib","jib-Tib","j-T","multi",11.4593596698486,10.4864317281163,9.63705853890694,9.34251209441851,12.2001375486852,10.0676163155345,12.1834159544367,11.7417122056067
"CV","jib","vib","jib-vib","j-v","manXplc_obs",8.74389368922885,10.3021254761872,10.32372841883,11.0084062199966,14.0227799166548,11.0559292338214,10.8307823555195,11.1336048251404
"CV","jib","zib","jib-zib","j-z","manXplc_obs",10.2132946131196,10.70809967375,10.6419829169786,11.5456352410744,14.1025552938128,14.3999316533592,12.1079166134799,10.8154832788797
"CV","jip","kip","jip-kip","j-k","multi",9.28473255246336,11.4083908074714,9.08276254321138,8.23645485324758,11.1277900657428,12.89137648521,NA,9.46791677159732
"CV","jip","lip","jip-lip","j-l","multi",13.1722058524615,10.5403751066896,10.3038161203085,9.85857446256008,12.6875838750343,15.762399347565,NA,12.0168490422758
"CV","jip","mip","jip-mip","j-m","multi",10.8213892288237,13.3937302907924,11.2176070021778,9.77643721556906,12.5127123570429,12.8337521933534,NA,NA
"CV","jip","nip","jip-nip","j-n","multi",12.5475883715257,12.7981161188385,10.1642840926305,10.7024868410909,12.9631890460595,12.5675699665633,NA,11.8686865464696
"CV","jip","pip","jip-pip","j-p","multi",10.6341331843871,10.808977832106,8.68907222020482,8.93335882231291,10.3977069335213,11.1233842704432,NA,10.0356757242048
"CV","jip","rip","jip-rip","j-r","multi",12.40315454579,13.8329944170023,12.2725220458224,11.6035435328251,12.9566276902167,13.3642776397884,NA,13.8634167895152
"CV","jip","sip","jip-sip","j-s","multi",9.93781075383933,12.6363388046052,10.2144155411769,11.604595348911,13.0716748302654,15.2028940934971,NA,10.0353726985714
"CV","jip","Sip","jip-Sip","j-S","voiXman",8.17141689394914,10.6992976949567,7.68873505207488,7.03831606895671,10.2024433837936,10.729047500445,NA,9.60212470348915
"CV","jip","tip","jip-tip","j-t","voiXman",10.4965081191246,11.5275452528624,8.0984023638616,8.13650397753326,11.5394450730739,12.4381106379662,NA,10.1380895954534
"CV","jip","Tip","jip-Tip","j-T","multi",10.4693271361892,11.9962394706153,9.49006531621889,9.03896231207969,9.58572530710099,11.7671815490838,NA,10.5636255045516
"CV","jip","vip","jip-vip","j-v","manXplc_obs",10.0978778080489,11.6948035880991,9.29872890427011,9.49489206149929,9.94326055279176,11.7168130794504,NA,10.3670826528516
"CV","jip","zip","jip-zip","j-z","manXplc_obs",11.4729692553951,11.2483652495924,10.3306760580219,11.951776389827,11.8851903856149,13.2255267132356,NA,12.7516300874269
"CV","jub","kub","jub-kub","j-k","multi",13.4409090970463,13.2022955919116,13.9809402337701,15.7389833178355,13.7211316191103,13.2599301796444,12.2024875741737,NA
"CV","jub","lub","jub-lub","j-l","multi",13.8341200484205,12.2252915263273,13.1542405400328,13.4573862536399,12.7407199320251,12.7407199320251,11.5449768323224,NA
"CV","jub","mub","jub-mub","j-m","multi",12.1785801554143,13.5563215017714,12.53737901833,12.9676318681023,12.657352827342,13.4156411691754,13.6782052031563,10.465914630715
"CV","jub","nub","jub-nub","j-n","multi",10.9220030720389,9.96339715206747,10.2187055438357,12.7329564503735,11.3695602200454,11.0786724137302,11.7761872389537,10.2049249570287
"CV","jub","pub","jub-pub","j-p","multi",11.887245546047,13.2388053621146,13.1374728995442,13.0564748650883,13.887531730121,14.6647824548199,11.8436567258855,10.7284503397707
"CV","jub","rub","jub-rub","j-r","multi",12.1159300848569,15.0165841230909,13.1205318210827,15.3727117143742,13.8719469222301,16.1387440107917,13.1113825129054,11.8079679470816
"CV","jub","Sub","jub-Sub","j-S","voiXman",10.0318607040805,10.046519005442,7.73035340565651,7.4657960725082,8.54696769268694,10.4610836079015,11.1659106367886,11.8213119912915
"CV","jub","sub","jub-sub","j-s","multi",14.0967461808595,12.5106857815336,9.65879827489971,10.1948926854611,12.2965689327026,13.34379775369,11.7283068172163,10.5320314354188
"CV","jub","Tub","jub-Tub","j-T","multi",11.1293626949605,14.6189993358288,10.673283020309,11.455527124288,10.3752292780437,11.5806626003433,13.1927104556612,10.6647404709904
"CV","jub","tub","jub-tub","j-t","voiXman",11.6034266960303,10.512656064749,10.7861746964444,9.35966015045708,9.01360715348739,10.7614722942098,11.4935277572428,10.936358006519
"CV","jub","vub","jub-vub","j-v","manXplc_obs",12.9960155609247,10.844347755695,13.4063294363547,15.1700393082946,13.0610353538344,14.513687119284,11.5181358608161,11.2370707536373
"CV","jub","zub","jub-zub","j-z","manXplc_obs",11.4650618866388,12.1339564819161,9.58743569787786,10.9787589481784,12.779317359293,12.3627563369734,10.5918418822194,10.2834606121743
"CV","jup","kup","jup-kup","j-k","multi",13.0632857172021,12.5232335606517,10.8048510168319,12.6878547452633,12.9349528445865,15.3148808425861,12.3006475046714,11.6813636913192
"CV","jup","lup","jup-lup","j-l","multi",14.6605998096967,12.0131900636039,12.9598432904454,11.1291915963894,13.2752571641046,13.5372412803646,11.3459233952505,11.2321108775868
"CV","jup","mup","jup-mup","j-m","multi",13.4722171883581,11.609757233881,11.7276845474283,11.4323420924241,12.9850558045759,13.1713021194073,10.2162759594157,10.2162759594157
"CV","jup","nup","jup-nup","j-n","multi",9.53771776666385,9.40927506432025,11.0931215800749,10.9424472292289,11.8021972178276,11.7424931776605,11.5300410835959,NA
"CV","jup","pup","jup-pup","j-p","multi",12.1145505255819,12.8541195356231,12.6228782395439,12.8981980843633,13.3598629868161,14.0636813177047,11.6801922647954,11.4861168246453
