"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",11.2193625135183,10.794191371481,11.3989820190411,11.6629550103565,10.3495383549623,11.2957567175712,9.64839186003974,10.229621193649
"CV","bab","dab","bab-dab","b-d","plc_plos",8.43568136714935,8.26971357317893,8.5231283344968,9.5165142876536,9.92895015922839,9.53824095183253,9.2081373208197,10.2355206470055
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",9.87468423527406,8.68595373297532,8.69080796798626,9.57381182818113,10.1361725931117,9.93146003692032,10.1699108697367,11.0562104871051
"CV","bab","fab","bab-fab","b-f","voiXman",13.4889409690958,11.7175167589918,9.74686515650302,9.11058708322848,9.7237269439012,10.8802618575099,9.93267914921845,12.2307411727988
"CV","bab","gab","bab-gab","b-g","plc_plos",11.7682843086339,7.75190804432556,9.1204196399069,7.82829888344726,10.3638624903077,9.7052093177786,11.786796304718,NA
"CV","bab","hab","bab-hab","b-h","multi",12.5036643528867,9.49677838696786,9.20456458919313,9.38680787661713,8.58197374189368,10.3195520462581,10.7362235689692,12.6549809813627
"CV","bab","jab","bab-jab","b-j","manXplc_obs",11.4546226894526,9.53804708925628,9.67355527065659,9.54468034177848,11.8262403835458,9.8947844811123,11.5214472621401,12.8002427652945
"CV","bab","kab","bab-kab","b-k","voiXplc",10.9588860322637,9.21969951524371,10.3708753361125,9.4611619863073,9.10390467092121,10.8880512638009,11.2243935119215,12.147050645865
"CV","bab","lab","bab-lab","b-l","multi",11.6541763723969,9.18569693768102,8.98416250619209,9.70451421661791,10.8203932621195,10.7682322204281,11.1660803114534,10.2405515948003
"CV","bab","mab","bab-mab","b-m","nasXson",12.0413104165198,10.7758361046966,10.5637260655283,10.4808418836709,9.94833847609171,12.5386915571583,10.042040436185,10.8275955824526
"CV","bab","nab","bab-nab","b-n","multi",11.8489050967289,9.98275306141646,9.55269401043476,12.21609906367,11.342968271955,10.9717193426837,12.8960378406424,10.4379178794094
"CV","bab","pab","bab-pab","b-p","voi_plos",14.0245263924737,10.4672091216484,9.4061280218939,8.69128327755144,8.17869904983278,9.61339649240441,12.0881207551192,9.43377987177619
"CV","bab","rab","bab-rab","b-r","multi",10.2758034421523,9.0730230976982,9.52490175181025,10.7573498418985,10.6712508849872,10.6010976958999,10.7396612244481,10.522316877395
"CV","bab","sab","bab-sab","b-s","multi",12.470616616923,11.4892210596577,10.0275134843114,8.82030004008213,13.3921298814154,10.3545673153557,13.253410639376,12.446733005342
"CV","bab","Sab","bab-Sab","b-S","multi",15.0797544210673,11.2903994656381,11.4274266325837,11.1091262469184,11.3062826795471,13.0920583469006,12.189879959318,11.7384620518891
"CV","bab","tab","bab-tab","b-t","voiXplc",11.0835802534906,10.5101669334403,9.28865296455027,8.62700552582991,8.55447927397728,9.07104027843512,10.5237173579309,10.3807183560826
"CV","bab","Tab","bab-Tab","b-T","multi",13.8443058470666,13.7845256233961,10.3158312009012,10.2669388604154,11.5574507236809,11.8744783973447,11.7181288307561,13.6301982999782
"CV","bab","vab","bab-vab","b-v","man_obs",11.63502302405,9.84943337632981,8.06110180815132,9.60826530497527,8.70921246773167,11.1477059971693,9.1574260953924,10.3212321338223
"CV","bab","zab","bab-zab","b-z","manXplc_obs",12.4301693727491,10.0919106529691,9.95556638424079,10.3940285683376,12.2971886398148,10.080879597662,10.8302218248107,11.2619310286287
"CV","bap","cap","bap-cap","b-c","multi",13.8020093092634,11.5325413490982,11.0735241081097,11.0434601718949,12.7660874011804,12.679912186208,10.8687254690309,10.026162555388
"CV","bap","dap","bap-dap","b-d","plc_plos",9.94301831286889,8.94094964142251,9.04717315636168,8.05563590267864,9.89299501509459,8.15196147510585,10.6063251499956,11.1673811630365
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",11.8335472897229,10.6032867475008,8.90154368822983,8.94944336949569,10.4048158511627,10.3952994335814,8.00937376933171,9.34518145551956
"CV","bap","fap","bap-fap","b-f","voiXman",9.96839166115972,11.994908777411,9.85283232197479,9.56596645645211,13.3602227050559,11.7970276313039,11.2871664790501,10.9655216870644
"CV","bap","gap","bap-gap","b-g","plc_plos",8.09330617893789,11.1178428867018,9.81333820620005,8.20928209455244,9.60954822820356,10.1558317498233,9.26672680671305,10.3343024271663
"CV","bap","hap","bap-hap","b-h","multi",13.7540583688495,10.8211155897076,10.4653638017583,10.0806819504449,10.9093731556505,10.2477458013733,10.7789762059967,10.5324955173089
"CV","bap","jap","bap-jap","b-j","manXplc_obs",14.3254584022443,11.5059194653333,10.1713598904564,10.7782353069057,10.564602717721,11.0207905528371,NA,12.0706767575095
"CV","bap","kap","bap-kap","b-k","voiXplc",10.8444530891803,10.4386940626367,9.94636580668181,9.8829355123891,10.0603022656867,10.1614740962728,10.5562056296214,9.99369845695593
"CV","bap","lap","bap-lap","b-l","multi",11.2712542553008,11.0490263877034,11.1189328637745,10.2051433858221,9.68870781499863,10.1205942569089,10.036981415192,9.36968153428789
