"","DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"1","CV","bab","cab","bab-cab","b-c","multi",12.1057671628391,11.910387689581,12.5426373045934,13.5766416750997,10.6946594019191,12.5511805636434,11.0371075151992,11.9149237372732
"2","CV","bab","dab","bab-dab","b-d","plc_plos",9.63543184347525,9.42743648977162,9.21057331104275,10.925504520631,11.2840028996251,11.2596952220367,10.7820943406296,12.078242008257
"3","CV","bab","Dab","bab-Dab","b-D","manXplc_obs",10.813970263624,9.89776968097751,9.54042917368958,10.9267828353943,11.7146142292439,11.4723332777978,11.2423860424004,12.3643050082176
"4","CV","bab","fab","bab-fab","b-f","voiXman",14.4452704889836,12.6937148478261,10.9506480396525,10.6329491850279,9.87586753004361,11.1138866259037,10.2387444121502,14.2076478191516
"5","CV","bab","gab","bab-gab","b-g","plc_plos",12.7856241356022,9.46798803962939,10.8717748999476,9.60603621228276,11.5942328233257,10.7878744822387,13.7924107462637,NA
"6","CV","bab","hab","bab-hab","b-h","multi",13.5735994418482,10.8798495753417,10.4396896189245,11.169758953461,9.349976577093,11.348128836462,11.2548304278756,14.4835014389207
"7","CV","bab","jab","bab-jab","b-j","manXplc_obs",12.2449693516938,10.8739093869683,11.2180749986351,11.1980386688317,13.1258368113702,10.8288042263827,NA,NA
"8","CV","bab","kab","bab-kab","b-k","voiXplc",12.0352679036163,10.4741885266932,11.3496550538719,11.7620425259433,10.4018166500547,12.3706733875635,12.7648090217723,13.8067403203986
"9","CV","bab","lab","bab-lab","b-l","multi",12.8918625620054,10.408059348126,9.94799236273762,11.2259761817177,12.2885129405362,12.129413255406,12.8132554527716,11.5954973645016
"10","CV","bab","mab","bab-mab","b-m","nasXson",13.6131959165092,12.6893780732735,12.3515543361894,11.7804813285034,12.2345969193975,13.5881889225992,11.7304405131425,12.5353666441459
"11","CV","bab","nab","bab-nab","b-n","multi",13.279625122166,12.0205884431852,10.8045439890495,13.2963733841555,12.8168285954029,12.2923227058786,14.1948622909912,12.0652231070458
"12","CV","bab","pab","bab-pab","b-p","voi_plos",15.0582051153043,12.0967782751338,10.6807299707422,10.1382664643872,9.55697624855615,11.0403383539359,13.5952815814375,10.9129288446601
